字段1_文本,字段1_链接,字段2,时间,字段3,时间1
表里不一8377,https://www.dongchedi.com/user/2784390894069112,经过三个月的等待，终于是把我的白马领回了家。距今提车一个来月，白马不要太帅，轮毂太棒了，路上回头率满满，果然加钱就是不一样。 储物空间可以满足日常需要，单身人士也没有多少东西可以放，驾驶空间很好，个子不高，体重蛮大，像小岳岳的体型？腿部空间蛮充裕，头部空间也不局促，很满意。 内饰可圈可点，很喜欢它的用料，质感超级舒服，方向盘摸起来很有感觉；全景天窗不错，透光度很好，隔热性目前还没有体会到，看测评是不错哈。 买了性能版也就不在乎什么续航了，不过差不多400多够了，但是GT的能耗比较大是真的。车机智能还可以接受吧，个人觉得，至少在同价位内算不错了。 驾驶感受很满意，总的驾驶感觉就像是一款传统的运动型的轿车，非常舒服，方向盘重、重心低、转向精准，很多的操控都和油车类似，性能没的说！最后性价比的话，不是特别喜欢动力的话就选长续航吧,2022-03-21,重庆,
半生若影,https://www.dongchedi.com/user/4442507196511006,最满意 电马不得不说确实是因为外观吸引我了，尤其是这个前脸，屁股灯，肌肉的线条美，启动车辆时的地面动态灯 最不满意 暂时没发现，反倒是越来越喜欢 驾驶感受 驾驶操控这一块，福特电马应该算是很牛的了，不得不说福特对底盘设计调教这块做的很不错 提车价格 虽然30.99万提的车，但是给了很多售后权益，比如洗车券，代驾券，电卡，150万电力值，我最喜欢的就是一键救援权益 电耗 电耗这个还真不太好说，因为跟每个人的驾驶习惯，路况，车辆载重，速度都有关系，我平常高速通勤，15～16的耗电量，有的车友13的电量 乘坐体验 福特电马5米的身长，个人觉得车内空间很宽敞，舒适性，隔音效果都很不错，尤其是后排和后备箱的储物空间，表现力非常棒，我甚至用电马来搬过家，很得力的助手 动力表现 百公里6.3秒加速，能体会把其他车甩在身后的优越感，不管高速还是城市道路，又快又稳 销售态度 当初看了很多车，福特的售前服务很不错的，有保姆群，为每个车主都建一个群，能体会到vip的服务,2023-10-30,上海,
秋之白华5294,https://www.dongchedi.com/user/1803633173213991,安全性是真的没话说，续航也没问题，车也是真的帅，而且小众化，因为是野马标，不会给别人杂牌车的感觉，回头率很高，刚提车就去了趟杭州旅游，满电出发，全程290公里，大部分高速，保持限速驾驶，到达目的地，电量还剩35%，续航完全足够使用，在杭州遇到两次险情，都是电马主动避让功能让我避免了事故，但是电马的车机系统也是真的不行，升级芯片之后，流畅很多，但是呆呆的界面，有种10年前安卓的感觉，等后续ota吧，开起来的感觉还是挺好的，不过相比于现在内卷严重的国内电车，电马的舒适功能和娱乐功能的确少得可怜，可以说是一台充电的油车吧,2023-09-19,苏州,
用过夜色里,https://www.dongchedi.com/user/3883902154059543,"人生购买的第一辆车，不管是外观动力还是操控配置都是非常的酷炫，可能唯一需要提升的就是车机的更智能化吧hhh

【充电时间】

家冲使用的多，平时基本上都是慢充，在外充电的次数少，时间一般都是一个晚上

【续航】

表显八折左右，喜欢地板油，日常开16度百公里的能耗，具体能跑多少大家换算一下吧，没有准确算过

【外观】

一给我里giao giao！Perfect！

【动力表现】

虽然是单电机的，但是一脚地板油下去，推背感还是很足的。1-120动力输出没阻碍。

【空间内饰】

空间没问题，乘坐空间宽敞，储物空间多；内饰，高级且精致，高级是用料高级，精致是设计精致。

【智能化】

期待8155后的车机，现在怎么说，功能较少，语音交互能力不强，算是电马的一点瑕疵吧~

【驾驶感受】

非常具有驾驶乐趣且操控无敌的一款车。",2022-09-30,长沙,
福建队第一,https://www.dongchedi.com/user/3857536538387208,本就是冲着颜值选择的电马，媳妇当时挺中意极氪的，但是看完电马后还是移情了电马，毕竟能抗拒电马颜值的人确实不多 提车速度很快，一个多月就提车了，我记得当时通知我去提车的时候我都是懵的，虽然销售说了下个月有车，但是还是没想到会这么快 车子使用很满意，动力快，空间大，配置高，乘坐感受和驾驶感受都很棒，虽然内饰视觉效果比较简单，但是座椅还是蛮舒服，用料是确实不戳，三种驾驶模式，三种不同的感受，细雨比较经济，电耗小，百公里一般13个电，所以一般都是开细雨，入胜算是正常模式，驾驶起来比细雨舒服一点，不羁就是动力模式了，方向盘加重，操控拉满，同时耗电也是直线上涨，这个模式还是开着玩玩就得了。 开了一个多月了，这边最近天气蛮好，续航保持在530左右，智能化中规中矩，和特斯拉差不多，但是没有car play，就很无奈，国外都有为什么国内不能上啊！！！！,2022-05-23,长沙,
impressoya,https://www.dongchedi.com/user/3852339408540190,外观内饰无敌，配置够用，空间续航一般。车机智能化拉垮，对智能化有很高需求还是不建议购买。,,上海,2022-09-06
请喝果粒陈,https://www.dongchedi.com/user/3549704043640736,上班代步才开始选车，通勤距离比较远就没考虑油车，当时是看到推文被电马外观吸引才开始了解，对电马空间很满意，后排放倒+前备箱帮朋友搬家很给力。买的标续在市内上班通勤是可以的，每天90km左右三天充一次电，电马的车机换8155后才让人满意，也还存在概率性bug等待后期更新，电马的三种驾驶模式我常用入胜，能很好的满足驾驶感，近期跑到1.7w去做了首保价格五百一二十，售后服务什么的打400最方便也最直接，有一点不满的就是电马的日行灯不能关闭，如果后排放倒睡在车上多多少少尴尬，三月份提车只有-4w活动，开到现在有几次准度没拿捏好感觉车长了？有几次小剐蹭。提车就加入了MMCC车友群，几次车友会都很棒！后期还给车贴了改色膜在路上也是很拉风的，也有几次长途出游，做好充电计划也就没有那么焦虑，还是很喜欢电马的。,2023-09-26,武汉,
热狗971,https://www.dongchedi.com/user/108268785494,颜值无敌，空间只能说后排一般，开起来也不错，就是坐在后排的人会觉得有点颠簸，快充基本上百分之20的电充到百分之80只要30多分钟。,,上海,2022-08-18
WENYU游泳日记,https://www.dongchedi.com/user/3927077101784264,"【空间表现】
空间还是可以接受，毕竟小家庭三个人，出去玩什么的都够了。
【最不满意】
轮胎偏窄
【驾驶感受】
操控这一块。福特百年底蕴，给我的驾驶反馈还是非常不错的，操控性能一直算是福特品牌的强项之一了，电马同样体现了福特在操控方面的深厚功力。底盘保留了相当多的韧性，但并没有生硬的感觉，在运动中也照顾到了舒适性。

【充电时间】
慢充睡一觉的时间，快充买杯咖啡的时间。

【购车经历】
还行吧，不影响提车就行，售后服务还是可以的。

【续航】
城市一般用细雨模式，百公里 11 电耗，跑高速 13 ～15 左右，看速度，空调 23 。

【智能化】
能听歌看导航，还有网速有点慢后续等升级
【提车价格】
闭眼冲，没考虑",2024-01-13,深圳,
黑暗森林的猎人,https://www.dongchedi.com/user/99412525588,最大的问题是车机。个人感觉影响最大的是高速胎噪明显，其次是刹车点头，驾乘感受不佳。至于续航，短距离通勤问题不大。,,宁波,2022-08-14
用户2212613438468,https://www.dongchedi.com/user/3606000990686717,三月份订的车，订完车看车试驾，到现在，一个多月就提车了，自己都没有想到有这么快 颜值在线，我相信很多车主都是冲着颜值去的，灰色是越看越喜欢，车漆的光泽度饱满，嘞个就是质感 内饰避繁就简，基本上就是一个中控大屏，多余的按键一个都没有，集中于大屏操作，简约，车内无异味，很对我的胃口。 整体空间良好，我们一家四口使用足够，储物空间是真的大，后备箱就不说了放两个大行李箱绰绰有余，还有个100L的前备箱，不论是装装菜还是放点换洗的衣服都是没问题的。 30w这款长续航，B&O音响，矩阵式大灯，方向盘加热，双层隔音玻璃，自动雨刷，19寸的轮毂就这几个配置都是妥妥值点钱了。 提车一个多礼拜，车子还没出过远门，现在就是日常使用上下班，没事出去溜达溜达的，续航焦虑没有，满电续航也有个500多左右；车机智能还行吧，设计挺人性化的，大多数操作都是可以口述操作，蛮方便。 驾驶操控挺舒服的，关闭单踏板，切换到细语模式就是油车了，只是还需要慢慢适应不用踩刹车等红绿灯的习惯....,2022-04-24,长沙,
慧子LYn,https://www.dongchedi.com/user/104280829116,标续确实是一款性价比超高的选择，虽然少了那么一丢丢配置，但是比起其他车型来说便宜了好几个W，而且在20多万能有这样的配置也是足够了的诶 用车成本低，是真低，可以说开油车一个月的钱开电车能开他么的大半年，跑了快两个月（家冲就没仔细算过）我到现在在外充电总共还没花到100快，没有续航焦虑，基本没怎么出门，每天差不多两点一线，非常适合我这种上下班通勤的人 空间上，储物空间很大，乘坐空间也还行，驾驶位置调好的话后排也还有很大的空间，平时就我妈坐一坐后排，空间上是没问题，而且座椅舒适度不错，我妈给了好评。 内饰属于可以接受范围内，大大方方的，没有廉价感，配的上这个价钱；对于智能化的话，我觉得已经是很牛掰了，没开过这么高科技的车（原谅我是个土狗），这个自适应巡航很好用，自动打方向盘，车身的自动修正也很灵敏，上班路上可以稍微放松一点，不过还是不太敢真给它开，毕竟狗命要紧！！！,2022-05-13,成都,
艾米莉艾米莉亚,https://www.dongchedi.com/user/3048283523254957,买电车无非就是驾驶感受和用车成本问题，现在油价这么高的情况下，只能说电车是真滴香，何况还是一辆颜值爆表的车。 平时就我一个人用车，车子的空间是足够了的，后备箱经常就是一个背包和储物箱，车内空间也就中控杯架上放瓶水，空间还是比较实用。整体的舒适性不错，车子内饰也没啥异味，当时提车的时候车内就没什么味道，加上个馨风系统，车内的空气还是不错的，可以给个好评。 内饰做工还行，简单了点，但是质感一级棒，特别是方向盘的手感，驾驶起来非常的舒服。之前是一辆油车SUV，但这车开起来有一种很精悍的感觉，底盘很厚重，偏运动风格，驾驶起来很稳重，而且还有三种驾驶模式，别的不说，没事整个不羁玩玩还挺有味道。 简单说说用车成本，按目前油价，之前那个车百公里13个油，一公里差不多1块多，现在电马，我一般能耗在12-15之间，在外冲一次电也就20来块，跑个300多公里没问题，更别说用家冲了，所以，真心建议，电车是真滴香，抓紧入手！！,2022-04-20,成都,
满满,https://www.dongchedi.com/user/3430950233193230,"【购车经历】
一见倾心，外观漂亮，进店第一眼就相中了直接下定。

【空间表现】
个人身高1米9，坐进驾驶位感觉很舒适不拥挤，座椅包裹性还不错，后排座椅空间适中，乘坐舒服，夏天头顶部也不会感觉晒，除非你头顶着车顶玻璃，后背箱空间足够每次去超市购物能塞进满满一车货物，前备箱空间大起码能放进两箱可乐外加一些杂物。

【驾驶感受】
极其适合新手司机，操控灵活，指向精准，加速有力快速超车时信心十足，滤震干净，最好的就是刹车，绝对能在最短距离内停止给驾驶者更多的安全。

【智能化】
因为本人并不喜欢辅助驾驶所以并未使用过不予置评。
自动泊车识别车位时反应略慢，停车时有点速度过快会有点害怕😨

【充电时间】
一般使用慢充，基本晚上10点充到早上7点百分之90没问题。

【续航】
一直在市区行驶现在实际续航基本都在520公里左右，当然这是开启空调的续航，所以相当不错。
总体上来说电马是台值得购买的好车。",2023-09-26,上海,
EricX的福特电马,https://www.dongchedi.com/user/158743317196468,【购车经历】 21年看到这个电马发布，当时还叫Mustang Mach E，帅气的外观直接在心里种草，综合了各种因素，21年10月盲定一直到提车 【空间表现】 这个空间是出乎我意外的，前备箱巨能装，露营拖车和露营椅子到现在还在前备箱里，随时可以出发去露营； 我选了白内（科技灰），加上全景天窗这个大玻璃，透进的光，让车里很清爽，舒服，通透，我1.83的个子坐在里面一点也不挤，我自己坐在后排也很惬意 【续航】 这个很满意，CLTC619，实际8折，电车都一样，但电马不一样的是，表现很稳定，春秋两季续航表现更好 【智能化】 没啥智能化，看得出福特尽力了，跟百度合作，嗯……就那样了 【驾驶感受】 几个模式换来换去，最满意开的最久的就是（细雨）模式，行驶舒服，有效减低乘坐电车的晕车感，动力足够，滑行中就把别人超过了 【智能化】 只有copilot360值得说一说，高速巡航用这个，简直就是舒服到无可挑剔，加减速也不突兀，很舒服，也很拟人化,2023-11-30,上海,
大雄58582615,https://www.dongchedi.com/user/5530422598,回归车辆的本质，是一辆好车无疑，动力能满足大多数使用场景，造型满分（也是让我决定买这款车最大的因素），但是但是但是！车机不及十万级别的车机体验，从购车到售后，整个体验极其差，基本毫无服务，运营极度拉跨！一句话总结，你买我不推荐，我买我真买。,2022-05-03,深圳,
此心无墨白,https://www.dongchedi.com/user/22748723041,【空间表现】 家用足够，后排略显拥挤，前后备箱是真香 【续航】 跑高速比较多，平时上下班，综合大概380 【充电时间】 30-80大概25-30min，够用了 【智能化】 中规中矩，要求不高，总体还是比较满意的 【最不满意】 车机无法安装app，也没有carplay，自带的百度地图不好用，希望后续ota可以改变；胎宽有点窄，雨天驾驶没安全感，容易甩尾，后期可以自己升级轮胎 【驾驶感受】 提速快，百年福特，地盘没得说，很稳，跟同级别的其他品牌相比驾驶感很好，注重驾驶感受的选这车没错，开起来跟油车差别不大，不羁开起来最爽，操控性最好，跑车的感觉；入胜适合城市道路，最接近油车，细雨适合高速，最节能，L档动能回收，会增加一部分续航 【乘坐体验】 据老婆说感觉很好，当时就是她说乘坐感受很舒服才买的这车，试驾过程急加速多次，说是一点晕车的感觉都没有，坐着很舒服,2023-09-25,天津,
MENN,https://www.dongchedi.com/user/102473225712,这车主要还是操控好，外观帅，动力强，比隔壁TSL，好太多了，缺点就是内饰不行（电车都这样）还有就是车机智能化不行，不过我不在乎，开起来爽就对了. 还是那句话“它变的是动力形式，不变的是驾驶激情”,2022-04-23,深圳,
啊家望呀,https://www.dongchedi.com/user/237128438527678,提车两月，跑了4000公里，just say say 【满意】动力强劲，操控性好，超车轻松，驾驶很舒服，最重要的还是外观嘎嘎帅气，讲真，30左右的价位，这车最有牌面。 空间日常出行没问题，单身一个人，用不了这么多，说句实话没有特殊情况我前备箱是基本用不上的。有一个细节，后排有个隐藏式的杯架，朋友已经不止一次夸过这点了 内饰我挺喜欢，材质很舒服，官方说是仿皮，但是总感觉这个用料不便宜，而且新车味道也不大，设计简简单单，很清爽。 续航算是很满意的一点，表显多少基本上就是能跑多少，单踏板+细雨续航无敌！！！ 【不满意】配置这块其实还算满意的，但是pass了座椅通风，在广东没有座椅通风可真是太难受了，车机一般，使用没问题，主要还是功能比较少，不符合这个价位。,2022-08-17,广州,
汐晨23547639,https://www.dongchedi.com/user/2886208374,"外观真的没得说 回头率各种说帅的人真的多。 驾驶感受也很棒。
    不过小问题bug也挺多比如脚踢后备箱偶尔不灵，刹车有点空调共振等等 天幕是被我家里吐槽最多的，重庆的天气天幕简直鸡肋。智能化够用，以后也可以ota升级 我之前没用过电动车接触比较少也不好具体评价。
     电池续航有家充倒没怎么在意，大概1周充一到两次，基本高速300多 城市400多。没有特意的去省电节能这些，都是按以往油车的开法。用车大半个月了跑了1100公里真的特别爽，油价根本不用关注了。家里油车已经很久都没动过了。",2022-07-26,重庆,
兮项,https://www.dongchedi.com/user/3183791754722295,驾驶操作感受很完美，加速即踩既有，入胜模式也会有强烈推背感。续航里程暂时来说代步够用，早高峰堵车时掉电较快。,,上海,2022-07-21
大牛仔2009,https://www.dongchedi.com/user/905599871615203,"优势动力、外观和空间。
【充电时间】
快充从30%到80%只要半小时不到。

【续航】
冬天夏天区别较大，新能源电动车的共性。
【最不满意】
不足之处：和某度合作的车机系统，成为明显短板。
【提车价格】
30.99
【购车经历】
首批大定，坐等4个月提车
【驾驶感受】
值得拥有。萝卜青菜，各有所爱，喜欢就好。
【销售态度】
售后有保姆群，有问题均能跟进解决。
后续的8155芯片免费升级，也算是老牌车企的负责之举。
【智能化】
1，辅助驾驶蓝智驾，不论是市区堵车场景，或者是高速公路自适应巡航，都能减缓疲劳。2，避障功能虽然有误报的情况，确确实实也避免了一两次危险。3，ota升级无感，两年不到已升级4次。",2023-11-23,上海,
用户4728870958013,https://www.dongchedi.com/user/3659607169050376,"电马车机相对我来说是够用的，因为平时基本也就导航跟听音乐，其他的还能看电影、订电影票、家居互联、找停车场、充电桩、点外卖、订酒店、查航班机票、火车票、违章、美食、景点、商场、超市、银行都可以，语音助手""电马同学""可以让它实行调节空调温度，切歌，导航(导航是可以让它寻找沿途中的充电桩，厕所，服务区，等功能，基本可以覆盖日常生活",2022-11-19,广州,
老大叔666,https://www.dongchedi.com/user/5953928405,好吧盲订选手，纯粹就是看这车颜值好看，路过商场被展车吸引，冲动一下直接就下了订单，然后再去店里看的车..... 颜值不多说，冲动归冲动，喜欢是真喜欢。内饰新能源车简约风，简简单单，材料的质感很好，很多车主说这个中控不大好看，刚开始我也觉得确实有点，但是看习惯后觉得还行，反而现在挺适应他这种中控了 选的相对来说性价比最高的一款，配置该有的都有，单电机，加速性能也是杠杠的 空间方面还行，中规中矩，前排空间没什么问题，后排稍微紧凑了些，但是我也就一个人用车，空间够用了，毕竟这车的外观造型在这里，要有颜值就得有牺牲，好看就完了！ 续航看地区吧，我这边现在充满能有个530左右了，冬季大概7折左右，能耗百公里15个电左右，续航是没有什么焦虑的 好吧车机智能化确实一般，没有carplay，电马同学有点憨憨，抓紧时间OTA 升级吧 不过电马的优势还是在于造车而不是车机，操控没问题，方向盘很灵敏，毕竟多少也带点赛道基因，底盘功底很不错，侧倾拐弯基本感受不到侧倾，驾驶视野很不错，日常开着去耍还是蛮舒服的。,2022-04-21,广州,
福特总管,https://www.dongchedi.com/user/93093883209,【空间表现】 空间表现优秀，主副驾与后排乘客均可正常乘坐 【续航】 春秋市内500高速400，夏冬市内400高速300左右 【充电时间】 20%-80%差不多只需要半个小时，最高电流可达250A 【智能化】 座舱智能化基本够用，如果车机能跟新款一样用上CarPlay会更好 【驾驶感受】 中段提速响应强烈，方向盘灵敏转向清晰，后驱能够让我更有驾驶乐趣！ 【亮点配置】 BO音响效果优秀，Brembo卡钳颜值高性能好，双层夹胶玻璃隔音效果好，矩阵式LED车灯霸气外露，硬朗结合流线掀背的外观帅到爆炸，经典三柱鲨鱼尾灯 【最不满意】 没有用CarPlay，使用的是百度合作开发的车机系统；福特中国对于电马的营销策略,2023-11-21,南昌,
66Yyc,https://www.dongchedi.com/user/3368500900667408,"外观很棒，颜值很能打
【空间表现】不能说大，满足够用

【续航】标513实际400 个人脚法不一样 我喜欢电门踩死 

【充电时间】28分钟左右冲到80% 


【智能化】车机一般，封闭式车机不能下载东西，人脸识别日常识别不出。",2022-08-23,镇江,
小叶子130119791,https://www.dongchedi.com/user/12795147911,喜欢它的超帅外观，喜欢它的超长轴距，喜欢它的可变动能回收模式，喜欢它的超大前备箱，喜欢它的超长续航，喜欢它的超酷驾驶感受，喜欢我家的11kw充电桩……只是智能化方面还有很大提升空间,,长沙,2022-09-12
MikeBuddy,https://www.dongchedi.com/user/87025434730,车机有待提升 空间略小 但操控极好 刹车稳定 智能驾驶轻松 后期福特官方照顾老车主 。总结：整体有待OTA升级更多功能，提升车机系统功能和稳定性,,天津,2023-05-17
等我喝碗汤,https://www.dongchedi.com/user/3439741995063111,不完美但是抵不住喜欢，年前去门店试的驾，订了28款 二十过半，三十未满，车子首选就是外观，电马前卫时尚还有一丝沉稳，是我的菜。Mustang Mach-e看名字就知道，动力操控懂的都懂，最初认识Mustang还是在电影里面认识的，后来才认识的电马~（之所以不选野马，家里不同意...） 家庭和工作原因，对舒适性有点要求，确实Mach-e的舒适性很合胃口，这也是为什么试完驾就订车的原因；有些东西就是一见钟情。前后座椅的坐姿设计怎么说，舒心，说是符合人体工学，这个真不清楚，但是坐着很舒服很软是真的，人可以陷进去，就像是一种躺的状态，体验过的人应该有感触，通俗一点来说有点躺沙发的感觉，支撑性没有那么好，但是想想上班开车的时候有类似沙发的座椅，嗯腰椎病都好多了 内饰可以接受，主要是看过特斯拉后呵呵。车机智能做的不错，反应挺快的，触控也灵敏，不完美空间感觉有点小，并不是乘坐驾驶空间不够，而是这么大的轴距不应该才这么点的空间.....,2022-01-05,,
纽约州车手,https://www.dongchedi.com/user/104687198482,由于北美也是汽油版野马的车主…再开这个“电驴”总感觉差点意思…外观吧仁者见仁…但是总感觉过于阴柔了（虽然电动车主要考虑的是风阻外观流线可以理解）内饰嘛…就是典型的电动车一块大屏…除此之外个人认为设计感真的没啥..无限向特斯拉看齐…底盘还比较整，过减速带没有多余的回弹…但是悬挂是偏运动的调教，所以舒适度一般吧…动力这个东西对于电动车来说就不是啥问题了…推背感是有的…但那个模拟V8声浪有点太假了…整体来说没啥豪华感…但是作为家用车来说还是可以的,2022-05-07,,
66同学咯,https://www.dongchedi.com/user/2700879052148343,"【空间表现】
2984的轴距，接近C级车。看起来好像不充裕，因为后排坐垫真的很厚实，腿托超长，而且往里凹进去，180坐主驾驶后排还有三拳，还不错

【充电时间】
30%-80%，快充最快27分钟，真的算快了，上个厕所抽根烟就可以跑250km

【智能化】
加了选装包的车可以在高速上特定路段做到全脱手巡航操作，加减速度也比较柔和，像个老司机开的

【驾驶感受】
可能是驾驶感受最接近油车的车吧

【维修成本】
电动车嘛。。就保养一下就行了，16000km进行检查一下


【提车价格】
目前四个版本，两个后驱，两个四驱，后驱27.59W，31.69，四驱36.99W，38.99W，相比目前都涨价的新能源，价格还算是可以接受。。。

【续航】
还是比较实的，毕竟传统车商",2022-07-17,,
暴躁老霸,https://www.dongchedi.com/user/246725832877485,大家听我一句劝，千万别买，我们台州小县城，没有授权服务中心，实在太难了，碰到个剐蹭都要开车几百公里，去温州或者宁波的授权服务中心搞，提车快一年了，一个服务中心还没建好，效率如此拉夸的车企，大家还是不要考虑了，被折腾惨了 另外，这个车续航不行，最多7折，车机智障，无用的功能一堆，有用的功能没几个，谁买谁后悔！！,2022-12-15,温州,
记得我见过你,https://www.dongchedi.com/user/51588317323,现在都还记得订单显示2月份提车时的激动心情，现在也提车快一个月了，没事也来吐槽吐槽（仅个人意见） 最满意的就是空间方面了，储物空间没的说；家用车，所以特别看重驾驶空间这块，好的司机需要一个好的驾驶空间！电马的驾驶空间非常的舒服，而且电马的座椅设计是更加注重驾驶员的体验的，前排座椅很软很舒服，包裹感非常贴合身体，记得一次是开了4个多小时也没感觉到有多累；当然，后排座椅也是可以满足家里的日常乘坐需求， 虽然有两个崽但还是选择了白色的内饰，还好当时没有选黑色的内饰，白色的内饰是真滴好看，用料非常的实在，质感一级棒！还有一个特别贴心的设计，后排出风口有个USB接口，我看是很多车子都没有想到这一点的，细节！ 操控和动力都没什么问题，续航现在是基本没什么担心了，500多的续航想去哪里去不了，很不满意的就是车机系统没有开通carplay，明明硬件是支持的，为什么不搞出来呢？,2022-03-07,上海,
LeonZ473,https://www.dongchedi.com/user/4498830727322459,"买它的原因:

【驾驶感受】
操控好，底盘稳健，百年车企的底蕴在那

【安全性】
安全性高，关键时刻能保命

【续航】
买的619长续航版本。回老家400公里时速130以内中间不用充电。市区开续航在520公里左右。够用

【颜值】
对我来说它很酷。不多解释，自己喜欢最重要",2023-02-16,深圳,
累你哦,https://www.dongchedi.com/user/3593365521,两米多的轴距，传承mustang的修长车头，车身的线条感很强，颜值是没什么好黑的，路上最靓的崽就是电马。 内饰质感不错，设计风格和材质很和谐，做工也很细腻，座椅非常软支撑性也很好，确实开久了感觉不到多累，好评加分！！！ 前排空间很爽，座椅加热，该有的都有，后排空间宽敞，但是腿长加攻速袜的建议做副驾驶。储物空间丰富，前备箱用来买菜属实很方便，不用担心弄脏弄湿后备箱和座椅，后排放倒后备箱空间巨大，睡觉，拉货都没问题。 还没跑过长途，每天上班通勤30个公里，能耗一般在18左右，续航目前8.5折左右，天气好就是不一样，有机会跑长途测试一下 语音人机交互很方便，滑动界面流畅度不错，但是发现一个问题，就是在打开导航，放大地图的时候有一点卡顿，建议升级OTA的时候做个优化 提车快一个月了，目前也就跑了1000来公里吧，很喜欢它的动力，随叫随到，底盘也不错，我这通勤路上基本上没有颠簸感。总的来说，好车坏车都是自己的车，买就完事了~,2022-03-15,长沙,
狮子男2122,https://www.dongchedi.com/user/910027639490647,买这车不后悔，首先最值得肯定就是颜值了，上路之后其他车都是陪衬；第二也算是圆了一个曾经的一个梦想吧，而且这车性价比确实高，空间，配置，品牌都是比较放心的。 电车的动力是真没的说，这动力油车没个百来万买不到；操控不好怎么说，但是开起来的舒适性很好，方向盘厚重，底盘稳定，隔音效果好，但是确实电车的单踏板模式是一个非常需要去适应的东西.... 个人感觉空间还是不错的，首先驾驶空间不错，前排富裕空间很多，其次就是后排乘坐空间，三个成年人坐起来是足够了的，再说储物空间，除了前后备箱之外车内空间也挺丰富的，各种小东西都可以很好的收纳。内饰只能说用料不错，简单是简单了点，中控台说实话能够旋转的话就是一大亮点，现在这个确实开惯油车会有点不大习惯。 这个月提的车，冬季续航没法评价，杭州最近温度挺舒服的，续航也有个500多，实际开下来也相差不多，智能化一般电车水平，也试了特斯拉蔚来什么的，都差不多。 最后，肌肉还是那个肌肉车，只是油变成了电。,2022-04-28,杭州,
长乐脑斧,https://www.dongchedi.com/user/1953207560448440,操控性表现极佳，外观颜值一流。但是续航表现一般，车机系统现在还比较智障。有家充的情况下日常使用还是很棒的。,,厦门,2022-01-28
汽车洋葱圈,https://www.dongchedi.com/user/3961561111,【最满意】 操控非常从容，在封闭场地上可以很轻松地进行漂移和原地画圈；在路上进行高速变道等操作时非常稳，给人很大的信心，感觉怎么玩都玩不脱；尽管看起来比较像跨界车，但是内部空间并没有因为大溜背而影响空间，内部非常宽敞。 【最不满意】 车内有些过于简单，大量实体按键被取消，这个有点不方便，屏幕是竖排的样式，操作的时候很难适应，远端的部分操作起来有些不方便。 【驾驶感受】 虽然是一辆电动SUV，但是开起来很灵活，像一辆两厢小钢炮，高速转弯的时候车身也没有很多笨重的感觉。 【乘坐体验】 后排空间很大，坐垫软硬度也尚可，在激烈驾驶时，也不会有太不舒服的左摇右晃的感觉。,2022-04-10,,
用户8895073682144,https://www.dongchedi.com/user/2286594103708318,外观不想评价了，直接给满星了，白内好看是真好看，不经脏是真不经脏，家里有小宝贝的还是建议黑内吧，别低估了家里的小孩，配置上算是性价比最高的一款车型，比标配贵了几万块但多的那几项配置多花几万块也值了，空间上本人身高170，体重160驾驶空间很大，头部空间富裕，腿部也撑得的开，后排老婆带着小孩活动空间也蛮大，老婆很中意前备箱，买了菜就可以放里面不会弄脏车里，之后冲一冲就好了 没什么时间出远门，通勤接送小孩续航可以了，主要是成本低，在外面充一次也就几十块，一个字香，车机的导航功能不错，仪表盘上也可以显示导航这点我很喜欢，自动泊车功能有点鸡肋，也有点不信任，试过一次，停车速度有点快打了一下方向盘就赶紧取消了，驾驶感受，不是专业的测评，就开着挺舒服，动力很足，刹车也快，其他操控什么的确实评价不了。,2022-05-20,成都,
驾仕派,https://www.dongchedi.com/user/3357959465,【车型特点】单论设计的“个性化”来说，Mach-E在外形上肯定要比大众ID.4这些车型要更吸睛得多。因为参考自经典野马的“快背”fastback造型，Mach-E的车尾更修长，整个车身线条更舒展流畅，同时又有一定的肌肉感。可以说是最大限度在一款SUV车型上复制了野马的Pony Car设计语言，整个造型融合了优雅、动感和力量，确实非常好看。只不过，这种出色的外形设计，本身跟电动车的关联度似乎也有限，它完全可以运用到一款燃油版高性能SUV上去。而野马的内饰设计就相对平庸。配色相对保守，扶手箱、杯架和排挡杆的位置都比较常规——其实也更顺手——只是阶梯式的布局，和杯架前因为没有传统汽车传动机构省出来的一块不小的置物空间相对有特色一些。而横向的仪表盘和纵向大屏都更像是人云亦云的跟风之作，虽然横向仪表盘本身也挺好用，大屏中间加了一个机械旋钮也多少改善了盲操的便利性，但整体上我仍然觉得特斯拉兴起的这种直接怼一个巨大竖向平板的布局着实显得很没有品位，操作上也不甚便利。对大屏的使用，我个人还是比较欣赏理想汽车的一些设计，无论在审美上还是在功能针对性上都显得更合理。,2023-02-01,,
佳宸说个事儿,https://www.dongchedi.com/user/4107372917953448,外观是我最喜欢的。其次就是驾驶感受。至于车机系统勉强够用。作为一台轿跑来说，它的空间是非常ok的。唯一不满意的就是电池续航打折。。。。在驾驶的过程中，它的加速操控超车速度，我也非常满意。,2023-08-20,南宁,
