字段1_文本,字段2,时间,字段3,时间1
线外邦,如果要用一句话来概括探岳GTE这款插电混动SUV，那就是“一半天使一半魔鬼”。 因为，在有电和匮电状态下，这车开起来完全是两种截然不同的风格：电量充沛的时候，它有劲，比探岳2.0T低功率那款动力都强，同时还相当省油，真的就是“马儿跑得快还吃得少”；可一旦没电的时候，就完全不一样了，提速肉到能让你怀疑人生，油耗也相当不友好，百公里九升那是家常便饭，堵车的话就更高了。 除此以外，探岳GTE跟燃油版就没有啥实质性的差别了，优点槽点都类似。 好的方面是，这车空间大，后排腿部基本可以跷二郎腿，当然，中间地台高了点，如果后排坐三个人，长途会有些难受。 不好的一面是，这车座椅偏硬（前后排都如此），且驾驶座很不容易调整到合适的位置，加上胎噪比较明显，乘坐舒适性不怎么到位。 另外，探岳GTE开起来刹车跟燃油版略有差异，踏板前半段感觉过于疲软，一定要舍得踩，跟印象中其他大众车不太一样。 总体而言，探岳GTE对于习惯经常充电的人来说，是一台不错的城市家用代步车，但如果是习惯性跑长途，特别是去野外比较多，那我更建议选择燃油版，尤其是330系列，不用担心没电之后动力过弱，更何况价格也便宜几万块。,,,2021-02-28
吉林长春探岳GTE车主,唯独纯点续航短，GTE模式那是相当给力，总体来说挺好的，我经常跑高速一年五万公里没毛病，也没有小毛病，全程4S店保养,,长春,2022-04-13
糖宝爸爸9C5G,买探岳GTE豪华智联版有三周时间了，首先说说我的用车体验，买车之前我开的雪佛兰乐风1.6自吸手动挡的车，至于探岳GTE我买的黑色，成稳大气，个人觉得满意，空间很大，家用足够，不足之处座椅不是很软，动力绝对不是问题，超车啥的都不是问题，续航方面来说，纯电54公里，电池充满的话显示的48公里，看懂车圈里大神们说的，与个人开车习惯有关，如果习惯好，路况好，显示的里程能大点，如果每天都能充电的话，上下班代步，还是很方便的，性价比很高，车机系统方面，安卓手机需要下载百度carlife，还得数据线才能投屏，苹果手机没有试过carplay先不发表意见，车机自带的导航不能判断道路是否拥堵，只用过一次，不过自带的导航能投到到仪表盘上盘，这点还是很方便的，总体来说还是不错，不足之处刹车偏软，可能插混车型和纯电车型普遍偏软吧。,2021-06-07,西安,
咖啡要喝茶,"家用车，相信大众品质。
【空间表现】
前后排都可以，后车厢偏小一点，平时用够，出去玩比较紧张。
【续航】
邮箱可以，至少可以保证600公里续航。
【油耗】
高速120油耗在6-6.5左右，挺不错。

【智能化】
车机一般，没有车联网。
【最不满意】
车机系统。",2022-01-28,上海,
凌乱的竹皮河,充电慢，差评。GTE模式动力强，有电油耗低，充电不方便的慎入。你要是为了个牌，当油车开也很好，油耗6个左右。 【空间表现】 大 【续航】 一段 【油耗】 6个左右 【最不满意】 充电慢,2022-01-16,深圳,
电动EV,【最满意】 车里比较亮眼的设计首先是方向盘，有一点运动方向盘的感觉，尤其是3点跟9点的位置，握感非常好，开车一个月了。有1500km。比我之前的比亚迪比的话强太多了。贯穿车身的LED大灯，专属GTe标时增加了整车辨识度。尾部升级为贯穿式LED尾灯。不仅横向拉伸了车尾的视觉宽度。使尾部造型线条更加流畅 【最不满意】 说实话，如果不看尾标的话，这部探岳GTE跟燃油版的相似度达到了95%，第一，这款车没有备胎。第二，续航里程太短，第三，充电接口在前面，很多充电桩线不够长，而且在郑州这种城市根本很少有机会停车的时候车屁股朝外的，导致充电不太方便。第四，胎压显示为被动式。,,,2022-10-14
用户7591280528452,"本田车子置换的，学驾照买的手动本田车子，想换个自动挡的，就觉得这个还可以，就买了，感觉车子厚实，操控还可以，目前跑了还不到1000公里，整体不错
【空间表现】空间家用足够了

【续航】*刚下班够用了

【油耗】油耗有电不高

【提车价格】20个

【驾驶感受】不错",2022-10-30,新乡,
小学生硕硕同学,充电方便可以入手，操控不错，空间大，底盘很稳。车身重，电量维持模式下，油耗满意。坐椅偏硬，动力很足，D档下刹车要小心，还好有碰撞保护，平时用B档很好操控。车身四面都有雷达预警。,,深圳,2021-10-20
手摇四驱拖拉机,外观很漂亮，符合大多数人的审美观，大气硬朗又不失时尚。 空间很大，尤其是后排，翘个二郎腿都没问题 配置方面算是满意，跟国产车比却差了那么一点，合资车又是大众，算是靠谱的。 唯一不足主要是纯电续航能力太短，上班稍微远的开出去回来就得用油。 然后就是这个动力最满意的，提速超车特别好,2023-08-25,深圳,
用户3408610376086,纯电续航能力太弱了… 【空间表现】 除了尾箱，其他都还行。 【油耗】 纯油模式6-7个油，GTE模式8个油。 【智能化】 每次起动得手选模式，好麻烦。,,广州,2022-02-25
新能源死路一条,"【空间表现】
后排空间符合大众的预期，可惜后备箱太小
【续航】
纯电54就是不开玩笑，最起码到100才算是新能源吧
【油耗】
任何模式下都很低，馈电也就7个油
【智能化】
一般般啦
【最不满意】
没有快充
没有快充没有快充没有快充


【提车价格】
18.5
【驾驶感受】
一般般",2023-05-06,郑州,
王渊池,第一辆混动车型，比之前的高尔夫舒服的多了。这个车开低速的行车品质跟电车一样，冬天冷的实在空调起不来温度。,,西安,2023-02-26
斌里个斌斌,整体感觉不错！唯一的缺陷就是后座两边做个放雨伞的不知干嘛用！浪费座位空间！车牌到了！😄😄😄,,宜昌,2022-03-08
如风随影7722,空间很满意，前后左右都会觉得有空余，操控性能真的很好，外观造型中规中矩，比普通版探岳细节好看一些，就是感觉电池有点小，要是后期能换增加到80公里续航能存22度电的电池包就完美了,,鞍山,2021-11-14
用户6252576471541,油耗低，跑了3万公里加了800块钱汽油！缺点就是续航短一点，但是对于我来说上下班16公里的路程绝对够用了，冬天开暖风特别费电，但是一来回即使把所有加热功能都打开也是够用的，希望退出长续航版本的混动，这样就更好了，至于小毛病就是发动机故障灯亮了，但是不耽误开，毕竟是第四台车了，自己没事检查一下故障代码自己手动就清除了,2024-01-31,沈阳,
Forgetit,车买了没有想象中那么喜欢😭😭，不知道是不是冲动了，在4S店看白车好看，买的白色，等拿到后感觉黑色更好看😭😭，才开1000公里，基本郊区到市区，平均油耗7个，等到5000公里再看看，中间有跳出一次什么大灯故障，后面重启后又好了,2021-12-14,上海,
用户6738934209326,小毛病不少，提车8个月返场维修两次第二次到现在还没提回来，第一次空调压力传感器坏了，第二次电池坏了具体原因也不说。,,上海,2022-08-21
用户8179639113249,22款变化不大，配置性价比不高，操控还行，续航太短，没有四驱遗憾，纯市区上班代步可以，比较经济，冬天雪地不好开，说实话后悔当时没选择380四驱途观，或者四驱crv，新能源真是鸡肋,,鄂尔多斯,2022-01-04
电动EV,【最满意】 外观方面看起来还算非常的不错的，很稳重，大气，车身的整体线条很流畅，前脸的LED大灯也非常的亮，非常犀利，看起来炯炯有神的，晚上开出去也很有安全感，辨识度特非常的高，可以说是设计长在我的审美上的一款车了。动力表现方面也是非常的不错，很强劲，起步很迅速，超车也不会有压力，随随便便一踩，车子就超过去了，开启起来非常的舒服。 【最不满意】 隔音效果方面比较的差吧，跑高速的时候胎噪风噪声音还是很明显的，平常要是跑长途听久了还是会影响驾驶心情的，而且车刚来的时候内饰异味比较的大，需要平常多开窗，过段时间后才慢慢的退去。,,,2022-03-21
用户3734505576136,纯油开时候油耗低，5个油，整体车性能很稳定，小毛病少，外观比较大气。很喜欢，目前1.9万公里。当时选择它的时候就是觉得性能足够，品牌历史悠久更加安全稳定，同时设计比较大气，探岳比途观要年轻化一些，又没有比亚迪城乡结合部的设计，特别接受不了唐的方向盘设计。买到现在很满意，可油可电，喜欢的放心冲！！！,2023-06-19,上海,
玩车报告,"22款探岳 GTE 的前脸采用熏黑的多边形进气格栅，搭配两侧犀利的大灯组，整体还是熟悉的大众风格。车身侧面的腰线设计比较流畅，溜背式车顶+贯穿式腰线，看起来运动感不错。车辆的尾部并没有采用现在流行的贯穿式尾灯设计，而是采用灯源一体化的设计，偏实用性。
       内饰方面，探岳GTE的中控台一侧偏向于驾驶员，给驾驶者的操作提供了便利。座椅采用的是麂皮的材质，填充物厚实，乘坐的舒适感还不错。9.2英寸的中控屏+10.3英寸的全液晶仪表，清晰度和操作流畅度表现都还可以。
       车身尺寸方面，探岳GTE的长宽高分别为4603*1860*1658mm，轴距为2730mm，这个尺寸反馈到内部乘坐空间应该还不错，具体的乘坐情况等玩车弟下次实际乘坐后再和大家聊。
配置方面，车辆搭载了常见的胎压报警、前后驻车雷达、主动刹车、定速巡航、倒车影像等多种实用配置，可以提升日常行车的便利性和安全性。
       探岳GTE采用的是一套插电式混合动力系统，搭载1.4L发动机，发动机最大功率为150马力，最大扭矩为250N.m，电动机的最大功率为116马力，最大扭矩为330N.m，系统综合最大功率为155kW，最大扭矩为400N.m。电池组的容量为13kWh，NEDC工况下的纯电动续航里程为56km，这个里程表现只能说日常短途够用，不过插混车型的核心优势也是油耗足够低，并非用来纯电代步。",,,2022-06-30
汽车天涯,探岳整体来看是一款不错的家用车，空间大，油耗不高，动力也OK。理论上来说，探岳GTE也基本上延续了燃油车的优势，甚至插电混动车型，在理论条件下，后期用车费用会大幅下降，更值得购买。但是，我并不这么觉得。首先，因为是插电混动车，所以成本变高，相同的配置要比燃油车贵个几万块，这一点可能会让人接受不了。其次，探岳GTE的纯电续航才54公里，实测只会更低，每天一次的充电频率显然不太现实，这就导致探岳GTE的插电混动容易产生反作用，如果一直处于没电状态下，电池的重量势必会导致油耗增加。所以，从某种意义上来说，探岳GTE唯一比燃油车更值得买的地方就是绿牌，如果不是因为限购城市的政策所需，完全没有必要买它，直接选择燃油版就可以。,,,2021-08-30
言車社,"对于外观元素使用，既延续了德国汽车的严谨大气，也将新能源车型的青春运动有着不错地展现，是一款较强的中德“混血儿”车型。例如，针对前脸的设计，探岳 GTE在沿用家族经典的半封闭链式格栅的基础上。又采用了新颖的贯穿式格栅下包围，使前脸的青春气息得到明显提升。此外，一体化的“C”型LED光源、丰富色彩比的银色前唇，都是对时下流行设计的一种回应。

在侧身造型设计中，探岳 GTE明显借鉴当下大火的“跨界风格”，溜背式车顶+贯穿式腰线，使SUV车型的魁梧感与轿车的线条有着不错地融合感。黑色镀铬饰条修饰的侧裙、车窗，以及轮眉，是本来平静的侧面变得丰富多彩。但惋惜的是，熏黑的轮眉使轮圈在视觉效果上更显狭小，让本来和谐的车身有些不伦不类。

与特点十足的前脸相比，尾部设计稍显平淡。通过曲面与双边两出的尾气形成与前脸相呼应的贯穿式设计，想法虽然很精彩，但在细节处还是给人些许的拖沓感。尾灯并没有采用流行的贯穿式设计，而是选用将驻车灯、制动灯、后雾灯等多种灯源一体化的设计，点亮后的效果具有较强辨识度。

整体而言，探岳 GTE的外观设计既有年轻群体的张扬和激情，也有着德系车的严谨和创新。虽对比热爱皮囊的国产新势力，少了几分个性，但也符合刚刚步入职场具有“上班族”与“新生代”双重角色的年轻群体。

在“狼多肉少，僧多粥少”的SUV市场，要想让年轻群体有着怦然心动的感觉，内饰设计必是拉分大户。探岳 GTE采用经典的双联屏设计，对于科技感有着不错地提升。触屏式空调设计，起到不错地增分效果。真皮包裹的座椅和全软质的内饰，为车内营造出精致高级氛围感。唯一令人诟病的恐怕就是机械手刹，在电子手刹流行的当下，舒适有点落伍。但整体而言，探岳 GTE的内饰还是比较符合潮流，尤其是经典的双联屏+触屏空调，基本让其处于同级别中的T1行列。

配置方面，探岳 GTE在这方面还是较为齐全的。搭载了常见的胎压报警、主动刹车、前后驻车雷达、倒车影像、定速巡航、并线辅助等配置，基本适应各种生活场景。而在本次改款中，顶配车型将会增添Lane Assist 车道保持系统、RTA后方交通预警系统。整体而言，探岳 GTE的主动驾驶功能只能说是中规中矩，毫米波雷达、摄像头更是一个也没有，这在当下的国内市场，属实有点“OUT”。

搭载1.4L四缸涡轮增压发动机，其中内燃机最大功率为150马力，最大扭矩为250N.m。电动机最大功率为116马力，最大扭矩为330N.m，综合系统最大功率211马力，最大扭矩为400N.m。电池组的容量为13kWh，NEDC工况下的纯电动续航里程为56km。这套动力输出对于日常生活基本够用，在电机的加持下，使驾驶感格外的轻快。唯一不适便是刹车偏软，给油效果略松。官方百公里加速时间为8.2秒，但在实际情况中会明显加长，起步较肉，但后期爆发力还是不错的。

以个人角度看，探岳GTE在这片江湖中算得上“内外兼修”的二流高手，比上不足比下有余。经典与新潮结合的外观，既保留了年轻的张扬，也有步入社会后的沉稳，正好符合刚刚步入社会的新生代人设。配置方面虽是最重要的拉风点，但要不是因为SUV市场“内卷成风”的老毛病，这个配置也能够跻身前几名。",2022-08-16,,
大耳朵图图I,"大众车中的小众车

最开始关注的Rav-4,皓影和威兰达和锐际。后来试驾丰田动力太肉，皓影太吵，锐际确实好，但是油老虎和那个外观欣赏不来，而且福特这个品牌感觉和国产车平起平坐了。最后看的大众探岳330豪华pro，但这车不加选装包的话配置太寒酸，连个acc，主动刹车等配置都没有，我觉得探岳豪华pro裸车最没性价比真不如最低配的330版本，2020年了，买个新车不带ACC的说不过去了。加选装包，价格又太高，比同级日系两田贵了不少。所以转看gte,免税，送充电桩，平时上下班来回20多公里，一天一充，初步估算下每天电费几块钱，只比公交车多一些。
9月14日订车，9月30日交车，车子是9月4日产的，具体说说
1.外观:相比R-Line来说多了c字形日行灯，还多了车门logo灯条和gte迎宾灯，个人觉得探岳里最好看的款式了，白色车身配绿色牌照非常好看
2.动力:纯电，gte模式动力可以和锐际比一比了，综合400Nm而且电机发力比汽油机来的快速。日常城市工况纯电模式关闭模拟引擎声浪后除了有胎噪没有任何动静，非常舒服
3.油耗:10.1期间都放假充电桩公司没上班，我加了点油，用的充电模式形式，中途换了gte模式开了40公里不到，表显6.5，感觉蛮惊喜的，以后有了电桩就不用油了，估计油箱里的油可能要放变质了哈哈
4.悬挂:前端软，舒适，中段有韧性，但过急弯还是要注意减速，安全第一，毕竟车中，重心高
5.转向:太轻盈了单手完全没问题，不过安全驾驶要双手把持，转向动作顺滑，但我还是习惯稍微有点重的感觉
6.配置:没啥说的，比330多了那么多配置不用后期拆装，改线。新车谁也不愿意拆，拆完还可能有异响。带Acc，车道居中，比车道保持更先进，座椅还带通风，真是夏天神器，有了通风和加热没必要买座套了，平时开车注意一下衣服裤子。容易掉色的就别穿了。倒车，车侧，前方雷达都有。有个小360全景的功能也还不错，最在意盲区的我虽然没用上全景摄像头，不过有提示也算比较放心了。
7.内饰:和普通燃油版比，更有科技感，蓝色和白色代表洁净的新能源和新动力

总结一下，买车我主要看配置，没有acc和主动安全的pass。动力也要强进，肉的一批的车实在太油腻，中年大叔的感觉。节能性也要有一定要求，我算了一下一年电费也就900左右。我之前的车一个月油钱就要800，差太多了。纯电车不敢上，如果有临时长途需求里程焦虑这一点我就接受不了，我手机电量只要低于70%就会有必须充电的想法，哈哈。基于以上几点选择了插电混动。
有人会说新能源车不保值，买车省油不省钱，这车纯电行驶就50多公里，冬天还要减半是智商税等等。下面我就说说我的想法
1.保不保值:买车是用来开的，不是来做交易的，我上台车开了10年，这台车也打算差不多，如果有钱了考虑增购而不是置换要是考虑保值，那我劝你RAV4 CRV这种日系保值车也别买，就买个4万块钱左右的车，再不保值也能卖1万，自己亏个3万。RAV4 CRV这种20万的车就算撑死保值率80%你也要亏个4万块钱，杠精们算算哪个亏？
2.买车省油不省钱的:新能源车省油+静谧性好+动力直接，这是你花多少燃油车价钱也买不来的。还有就是费用，按照我的使用情况测算燃油车一个月油钱800，新能源车年满打满算1200，省下的钱差的太多，况且现在gte优惠也不小，而且免税，落地价就比330的便宜，几年后省下的钱我就算换个电池也够了，而且三电质保8年，一台车开12年这费用够了
3.冬季续航里程减半:我的使用情况上文也说了，每天比较固定20多公里。就算续航里程从50减到了20公里也足够我用的了，动能回收和混动模式保证我出行大部分时间还是纯电。",2020-10-02,青岛,
SH琦琦808,"坐标上海，原来的轿车开了快12年，疫情以来就准备换车，轿车不考虑了，换SUV。

选车：日系、韩系、美系、德系、国产SUV全都看了前一遍，综合考虑下来准备入手汽油版一汽大众探岳，没想到4月份探岳G T E出来了，送绿牌不限行，各种论坛网站看车评，联系各个一汽大众4S店比价，转眼10月达到心理价位，下订金定车！

绿牌申请：上海上绿牌过程比较繁琐，要个人征信，有固定车位安装充电桩等等，耗时1个月多点，不过基本都在一网通办上办理，比老办法时间已经缩短了很多！
提车上牌：10月底销售说车到了果断提车上临牌，先开起来再说，一张临牌还没到期牌照额度就通过了，车管所上牌同时一个上午，下午去4S贴膜，一天全部搞定！ 

经过几天的驾驶目前还没有问题出现，希望以后去也不会有！

先说缺点：1.刹车偏软不线性，刚上手要适应一段时间。2车机系统比较简陋，没有车联网。3.充电口在前面，要车头停里面才能充电。4.前排座椅护翼太高太硬上下车咯屁股，整体座椅偏硬，后排座椅两边留有储物槽不实用还影响后排座椅宽度。5.内饰硬朔料他多。

其他缺点暂时还没发现！

优点：1.提速快 零百加速不到8秒 ，60再加速至120没有什么延时，超车游刃有余。2.油耗低 ，家里有充电桩的话晚上3毛钱一度电，4块钱能跑4、50公里比较经济.没有里程焦虑没电就烧油，而且油耗还是比传统的汽油车油耗低。3.空间大，内部空间和途观L差不多，储物盒够用。

最后：车无完车，享受他的优点的同时也包容他的缺点。",2020-11-14,上海,
永溪读多点,"外观造型匀称，虽然车长只有4603，但轴距有2730，轮胎18寸，所以显得很匀称又大气。车头C形日行灯很有辨识度，侧面的腰线不仅提升了雅致感还使得整车看起来更加舒展。尾部的双排气管设计，显得更加敦厚大气。

内饰简约实用，真皮打孔座椅好评，触控空调按键好评，液晶仪表盘好评，carplay好评，唯一不满意的就是后排中间地台有点高，好在不是很宽，能接受。

前后排空间都很满意，后排可以轻易跷二郎腿，储物空间也充足。

动力方面最满意的两个模式是纯电模式和GTE模式，纯电模式在市内0-60简直弹射起步，而GTE模式在高速上超车也是轻轻松松，并且该模式可以称为一键换车，刹车，转向，油门，变速器一键转换，用过就会上瘾，并且还自带电能管理，保持电量50%恒定，不仅驾驶感受好，还没有电量续航忧虑，加油就行。

很多人说插混是政策产物，p2是廉价插混，我只想说不要听信网络，要懂得独立思考，任何一种解决方案都有利有弊，GTE首先是追求动力和驾驶感受，其次才是节能，电机低速的动力节能优势和内燃机的动力高速节能优势很好的进行了互补性结合，加上双离合变速箱快速换挡的加成，这套动力系统相当优秀。而如果你有自己的充电桩，就可以像我一样，每天3块钱充满电，每公里不到8分钱。

下个红绿灯口再见！",2021-01-05,广州,
绘光者Art,"由于深圳限牌，摇号三年了都没有摇中，所以改买新能源车型，免购置税，免摇号，每天还能免费停宜停车车位一小时，感觉还是很划算的，看车订车都比较快，因为可选项也不多。

目前为止开起来还是比较舒服的，虽然没有充电当油车有点亏，有电没电差距还是挺大的，但还是很好开，配置很高，舒服。",2020-11-13,深圳,
YA796,本来想买燃油车，结果去试驾了GTE觉得还可以，就订车了，定的尊贵版本，等了一个多月，没车，实在不想等了，就要了豪华版，充电比较鸡肋，第一次4个小时，第二次过后都是5个小时左右，混动模式转换比较迟钝，GTE模式换电动模式，必须停车才能换电动模式，后备箱空间实在小的无法，音箱卡顿，倒车后视我的不知道为什么不能下翻，还在研究，充电续航没有看懂具体公里数，仪表盘显示不是很准，目前油耗每公里4毛左右，95号。我买车的地方没有送充电桩。其他还在研究。,2020-11-20,遵义,
用户166973592453,"深圳摇牌60期，下定决心买了探岳GTE，目前充了4次电，显示可以跑52-55km，现在跑了240km，买了加了一次油，现在还有7/8，省油。

运气不好，开了4天，发现发动机故障灯亮了，开回4S店，查了半天说可能是什么燃油传感器故障，还没货要等天津厂家邮寄过来，希望换了不会再出问题！

总体来说，车
优点：辆配置丰富、动力强劲、性价比高；
缺点：刹车软，车速上了80km，不敢跟太近！",2020-11-14,深圳,
好好先森24,"买这车是因为在深圳工作，想要深圳牌，且不能是纯电，因为需要跑长途，回家探亲，混动是不错的选择，它还有免购置税，补贴，符合深圳政策，所以就锁定它了。

舒适度方面还是不错的，特别是室内空气，对比了比亚迪宋pro新能源要好，虽然它配置好些。

体验感方面还是不错的，动力反应及时，虽然低速有点延迟，但有电机的加持，总体感觉还是不错的，特别是GTE模式，亏电行驶也只有5.9-6.9个油，而且跑的是市区，相当不错了。

因此，探岳GTE还是值得选择的，看着成熟，稳重，踏实，还有颜值，如果是你看了会心动吗？",2020-09-08,深圳,
